,C1 25 perc,C1 75 perc
Primary energy 2050,369.8783863414756,448.04938144153397
Max yearly bioenergy,98.127825,153.96292335357126
Cumulative CCS 2010-2050,68211.98256771012,152825.610275
CDR 2050,1883.165127168085,5914.6571
Ren share 2050,0.4760051567451171,0.6982759277944852
Cumulative gross fossil CO2 2020-2050,511739.6831000001,635763.6139999998
